title,description,category,subcategory,section,input_type,required,weight,is_critical,options
Food served at the right temperature,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Food served as per specification,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Beverage was served at the required temperature,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Side dishes are properly served with the required texture and taste,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Food came with the proper accompaniments,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Using approved ingredients or foods (Non-Brand/Non-Food Safety critical).,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Portion is adequate and not less or too much,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Food presentation was good,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Beverage was having required taste and consistency,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Beverage presentation was good,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Veg and non-veg segregation is being followed,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Cooked and uncooked food kept separately,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Burnt oil being disposed as per SOP,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Receiving of goods is done at ideal temperatures,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Correct thawing process is being followed,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
No expired product in use,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Hold Time Standards are adhered for Buffet food and beverages in Display Cabinet.,,QUALITY,,,,yes,1,no,Yes:3|No:0|NA:NA
Staff available at the counter,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
"Guests are greeted with smile Hi/GM/GA/GE etc., Ma'am/Sir, Welcome to ��� (Brand name)",,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Checked for take away or Dine-in,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Customer contact details taken,,SERVICE,,,,yes,1,no,Yes:2|No:0|NA:NA
The tone of welcoming is warm and inviting,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Eye contact maintained while taking order,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Employee�s speech clear and fully understood,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Staff displaying a high level of confidence when carrying out his/her duties.,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
"When taking the order, the server exhibited a good working knowledge of the menu and its ingredients",,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
"Did the staff actively listen, avoid interrupting and give the guest their undivided attention (i.e., the guest should not have to repeat themselves)",,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Guests� needs are acknowledged well by the staff if any,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Suggestive selling/ Upselling done at least once,,SERVICE,,,,yes,1,no,Yes:2|No:0|NA:NA
Offered to describe promotions and special offers,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Customer Issues not avoided or handled according to standard.,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
The staff satisfactorily answered all questions,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
The order is repeated and confirmed,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Asked for the MOP (Mode of Payment),,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
"The payment is acknowledged, and change given along with the bill if cash is the MOP",,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Serving time informed to the guests,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
"If there was a delay in the promise time, were you informed?",,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Politely called when your order was ready,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Enquired if any other help needed,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
"Before delivering, food checked vs BILL",,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
"The guest is thanked with politeness, wishing enjoyment, and asked to come back again (Thank you & see you soon)",,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Guest requested to share rating/feedback online,,SERVICE,,,,yes,1,no,Yes:2|No:0|NA:NA
Was the manager present on the floor and managing the shift well,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
Team Member not demonstrating rude or offensive behavior to any guest or other team member.,,SERVICE,,,,yes,1,no,Yes:3|No:0|NA:NA
"Delivery Station (including boxes, carry bags, branding stickers and tape) set-up and kept ready as per day�s requirement. Phone is kept on and line is working",,Delivery Service,,,,yes,1,no,Yes:3|No:0|NA:NA
"Swiggy / Zomato is switched on, Thrive scanners are in place. All items are reflecting available on the aggregator platforms",,Delivery Service,,,,yes,1,no,Yes:3|No:0|NA:NA
"Internet connection is working, and online delivery parameters are kept on",,Delivery Service,,,,yes,1,no,Yes:3|No:0|NA:NA
"Marketing tools � fliers, coupons, offer cards available",,Delivery Service,,,,yes,1,no,Yes:2|No:0|NA:NA
Order boxes are properly sealed for dispatch,,Delivery Service,,,,yes,1,no,Yes:3|No:0|NA:NA
Fliers / coupons / promo materials inserted in every dispatched bag,,Delivery Service,,,,yes,1,no,Yes:2|No:0|NA:NA
"Dispatcher to ensure while handing over the order to the Riders, order dispatched is done at Riders end",,Delivery Service,,,,yes,1,no,Yes:3|No:0|NA:NA
"If there was NO queue, were customers greeted within 5 seconds?",,Speed of Service,,,,yes,1,no,Yes:3|No:0|NA:NA
"If there was a queue, were customers greeted and directed to order through self-ordering kiosk or scanner within 10 seconds?",,Speed of Service,,,,yes,1,no,Yes:3|No:0|NA:NA
The order-taking was taken and completed within 2 minutes,,Speed of Service,,,,yes,1,no,Yes:3|No:0|NA:NA
Order ready within 8 minutes,,Speed of Service,,,,yes,1,no,Yes:3|No:0|NA:NA
"Open as per posted hours of operation, ready to serve guests or taking orders.",,Accuracy,,,,yes,1,no,Yes:3|No:0|NA:NA
Current Menu is well displayed and updated,,Accuracy,,,,yes,1,no,Yes:3|No:0|NA:NA
Menu grammatically correct and easy to read,,Accuracy,,,,yes,1,no,Yes:3|No:0|NA:NA
Wall TV working with the right visual,,Accuracy,,,,yes,1,no,Yes:2|No:0|NA:NA
Menu prices are clearly visible and not cluttered. Number of menu boards - 5,,Accuracy,,,,yes,1,no,Yes:3|No:0|NA:NA
Latest promos / offers displayed either on TV or as counter tops,,Accuracy,,,,yes,1,no,Yes:2|No:0|NA:NA
Display products are labelled correctly,,Accuracy,,,,yes,1,no,Yes:3|No:0|NA:NA
