title,description,category,subcategory,section,input_type,required,weight,is_critical,options
Food served at the right temperature,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Food served as per specification,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Beverage was served at the required temperature,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Side dishes are properly served with the required texture and taste,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Food came with the proper accompaniments,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Using approved ingredients or foods (Non-Brand/Non-Food Safety critical).,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Portion is adequate and not less or too much,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Food presentation was good,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Beverage was having required taste and consistency,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Beverage presentation was good,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Veg and non-veg segregation is being followed,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Cooked and uncooked food kept separately,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Burnt oil being disposed as per SOP,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Receiving of goods is done at ideal temperatures,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Correct thawing process is being followed,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
No expired product in use,,Quality,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Person available at the entrance at all times,,Service,entrance,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Hostess desk is approachable and manned at peak hours,,Service,entrance,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Menu cards available in the hostess desk for customer reference,,Service,entrance,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"Guests are greeted with smile Hi/GM/GA/GE etc, Ma'am/Sir, Welcome to (Brand name)",,Service,entrance,,option_select,yes,1,no,Yes:3|No:0|NA:NA
The tone of welcoming is warm and inviting,,Service,entrance,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Eye contact maintained throughout,,Service,entrance,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Staff's speech clear and to be fully understood,,Service,entrance,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Staff displaying a high level of confidence when carrying out his/her duties?,,Service,entrance,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Check and confirm the details of the guest (reservation details) with their contact details and from where are they coming,,Service,entrance,,option_select,yes,1,no,Yes:3|No:0|NA:NA
"If no reservation, then contact number taken",,Service,entrance,,option_select,yes,1,no,Yes:2|No:0|NA:NA
If the guest was kept waiting did the employee acknowledge this and apologize for the delay?,,Service,entrance,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Staff opening doors for customers,,Service,entrance,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Guest seated in a timely manner at a fully laid table even when the outlet is crowded,,Service,entrance,,option_select,yes,1,no,Yes:3|No:0|NA:NA
"If you asked for a specific (size-appropriate) table, was your request accommodated (if available)",,Service,Restaurant,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Menu card scanner suggested to the guest,,Service,Restaurant,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"Menu cards presented and opened to the starter page, individually handed to each guest (if scanner menu not available)",,Service,Restaurant,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Host introduces the server or mentioned what happens next,,Service,Restaurant,,option_select,yes,1,no,Yes:3|No:0|NA:NA
"Staff offered seating assistance, removed covers if necessary",,Service,Restaurant,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Table was completely set before guests were seated,,Service,Restaurant,,option_select,yes,1,no,Yes:3|No:0|NA:NA
