title,description,category,subcategory,section,input_type,required,weight,is_critical,options
Designated hand wash sink with all necessary amenities available at back entrance,Designated hand wash sink with all necessary amenities available at back entrance,Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Personal Hygiene of staff  maintained/personal hygiene checklist maintained,Personal Hygiene of staff  maintained/personal hygiene checklist maintained,Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
People are cleanly shaven and nails are short & clean. Beard Mask worn by staff with beard,People are cleanly shaven and nails are short & clean. Beard Mask worn by staff with beard,Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"No eating, drinking, chewing tobacco and smoking in the production / restaurant area.","No eating, drinking, chewing tobacco and smoking in the production / restaurant area.",Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
No open cuts and wounds,No open cuts and wounds,Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"No wrist band, rings, necklace, watches or jewelery worn in production/restaurant area","No wrist band, rings, necklace, watches or jewelery worn in production/restaurant area",Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Hands are washed hourly and sanitized with soft care Des E Spray, Tissue paper/ air dryer available","Hands are washed hourly and sanitized with soft care Des E Spray, Tissue paper/ air dryer available",Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"Uniform of the staff is clean, not torn .","Uniform of the staff is clean, not torn .",Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Staff not touching mouth, nose, eyes, hairs in the production area","Staff not touching mouth, nose, eyes, hairs in the production area",Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Lockers & changing area are available for staff,Lockers & changing area are available for staff,Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Staff washing and sanitizing hands after clearance, handling money, coughing, sneezing  etc.","Staff washing and sanitizing hands after clearance, handling money, coughing, sneezing  etc.",Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Staff wearing proper hairnets in the production area,Staff wearing proper hairnets in the production area,Hygiene & Cleanliness,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
FSSAI licence is available and displayed.,FSSAI licence is available and displayed.,Regulatory Requirement,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
"Stamping certificate for weighing scales/Peg Measurment available, displayed near the machine","Stamping certificate for weighing scales/Peg Measurment available, displayed near the machine",Regulatory Requirement,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Colour coded cutting boards used as per norms and in good condition,Colour coded cutting boards used as per norms and in good condition,Regulatory Requirement,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Hard Copies of MSDS for all cleaning chemicals available, staff aware of it","Hard Copies of MSDS for all cleaning chemicals available, staff aware of it",Regulatory Requirement,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"Hard Copies of MSDS for Pest Control Chemicals is available, staff aware of it","Hard Copies of MSDS for Pest Control Chemicals is available, staff aware of it",Regulatory Requirement,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"FoSTaC Trainer available, certificate displayed","FoSTaC Trainer available, certificate displayed",Regulatory Requirement,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Copies of medical records of the staff available,Copies of medical records of the staff available,Regulatory Requirement,,,option_select,yes,1,no,Yes:0|No:0|NA:NA
Nutrtion information is available in the File/Menu/Digital Menu,Nutrtion information is available in the File/Menu/Digital Menu,Regulatory Requirement,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
No Running water and electricity at the outlets,No Running water and electricity at the outlets,Regulatory Requirement,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
Warranty stamped on challans by food vendors as per Form E of FSSAI,Warranty stamped on challans by food vendors as per Form E of FSSAI,Regulatory Requirement,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Tinning of Copper vesels done and records maintained where applicable,Tinning of Copper vesels done and records maintained where applicable,Regulatory Requirement,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"QA and cleaning chemicals SOPs available, staff aware about it","QA and cleaning chemicals SOPs available, staff aware about it",QA Requirement,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Training done by Fostac certified trainers and training records available,Training done by Fostac certified trainers and training records available,QA Requirement,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Proper CA taken and shared of previous audit report,Proper CA taken and shared of previous audit report,QA Requirement,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Agency staff not changing once trained and working as per Cleaning SOPs,Agency staff not changing once trained and working as per Cleaning SOPs,QA Requirement,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Cleaning schedule displayed and cleaning done as per schedule,Cleaning schedule displayed and cleaning done as per schedule,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Is the Garbage bins Foot operatated, clean/bins as per biodegradable & recyclable basis (colour coded-green, blue, black [hazardous]) and without offensive odor/garbage disposal","Is the Garbage bins Foot operatated, clean/bins as per biodegradable & recyclable basis (colour coded-green, blue, black [hazardous]) and without offensive odor/garbage disposal",Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
All chemicals are properly labelled & Measuring Cylinder available,All chemicals are properly labelled & Measuring Cylinder available,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"Recommended chemicals, Mops & tools used for cleaning & sanitizing","Recommended chemicals, Mops & tools used for cleaning & sanitizing",Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Sanitizer in proper strength in fogging jars/spray bottles available,Sanitizer in proper strength in fogging jars/spray bottles available,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Chlorine test strips and fogging jar available.,Chlorine test strips and fogging jar available.,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Production, store area are cleaned and properly maintained","Production, store area are cleaned and properly maintained",Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Drain, drain covers and grease traps are clean with proper alignment of drain cover","Drain, drain covers and grease traps are clean with proper alignment of drain cover",Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Wall tiles and floor are clean,Wall tiles and floor are clean,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Area at the back and underneath kitchen equipments clean,Area at the back and underneath kitchen equipments clean,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Baskets, working counters, sink maintained clean","Baskets, working counters, sink maintained clean",Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"All equipments maintained clean (hoods, filters, range, oven, M/W, D/W, fridges)","All equipments maintained clean (hoods, filters, range, oven, M/W, D/W, fridges)",Cleaning & Sanitation,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
No blackened pans /patilas & No old tags on cleaned utensils.,No blackened pans /patilas & No old tags on cleaned utensils.,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"All gaskets on refrigeration/ freezer units, ice machines, water cooler and hot holding units are properly cleaned","All gaskets on refrigeration/ freezer units, ice machines, water cooler and hot holding units are properly cleaned",Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
All crockery and cutlery are free of foul smell,All crockery and cutlery are free of foul smell,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Aprons, gloves, shoes are available for KST Staff.","Aprons, gloves, shoes are available for KST Staff.",Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Detergent used as per norms at the dish wash area,Detergent used as per norms at the dish wash area,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"Adequate stock of cleaning chemicals, sanitisers available","Adequate stock of cleaning chemicals, sanitisers available",Cleaning & Sanitation,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Cleaning chemicals are kept securely and away from the food area. It should be kept in a lower rack/level,Cleaning chemicals are kept securely and away from the food area. It should be kept in a lower rack/level,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
All drain covers are in place.,All drain covers are in place.,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Covid Precaution - All high touch points are sanitized frequently,Covid Precaution - All high touch points are sanitized frequently,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Thinning records area available,Thinning records area available,Cleaning & Sanitation,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Pest Control Service Schedule displayed and followed,Pest Control Service Schedule displayed and followed,Pest Control,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"Pest sighting noted and informed to PC agency. If pest infestation is severe, then the outlet to be shut as it will be classified as a Zero tolerance Point","Pest sighting noted and informed to PC agency. If pest infestation is severe, then the outlet to be shut as it will be classified as a Zero tolerance Point",Pest Control,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
No pest droppings,No pest droppings,Pest Control,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
No damage was caused due to pest problem,No damage was caused due to pest problem,Pest Control,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"All Fly Catchers and air curtains working, all doors of production area were closed","All Fly Catchers and air curtains working, all doors of production area were closed",Pest Control,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"All lockers, changing room area, L4 emptied before pest control on deep pest control day","All lockers, changing room area, L4 emptied before pest control on deep pest control day",Pest Control,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
PC Service Schedule duly filled with remarks from the Ops team,PC Service Schedule duly filled with remarks from the Ops team,Pest Control,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"All working counters cleaned, sanitized before starting the work","All working counters cleaned, sanitized before starting the work",Production,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Clean trays /containers /utensils are used,Clean trays /containers /utensils are used,Production,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Vegetables are sanitzed as per recommended procedure, procedure displayed at BOH","Vegetables are sanitzed as per recommended procedure, procedure displayed at BOH",Production,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"All equipments to be used are sanitized in the morning and as per SOP(Cutting boards/knives, tools)","All equipments to be used are sanitized in the morning and as per SOP(Cutting boards/knives, tools)",Production,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"No expired and spoilt food found in kitchen, chillers or u/c","No expired and spoilt food found in kitchen, chillers or u/c",Production,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
"All Foods are covered, bear date tag with product name (DOM, DOE)","All Foods are covered, bear date tag with product name (DOM, DOE)",Production,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
No Misbranding/old tag observed,No Misbranding/old tag observed,Production,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Veg and Non veg ; raw and cooked food segregated,Veg and Non veg ; raw and cooked food segregated,Production,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
All perishable food items are stored as per the designated temperature,All perishable food items are stored as per the designated temperature,Production,,,option_select,yes,1,no,Yes:3|No:0|NA:NA
"Colour coded clean kitchen dusters used and dipped in sanitizer-Red for butchery and green for kitchen, blue for general cleaning","Colour coded clean kitchen dusters used and dipped in sanitizer-Red for butchery and green for kitchen, blue for general cleaning",Production,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
No material kept on floor,No material kept on floor,Production,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Cooking / holding  done at right temperature,Cooking / holding  done at right temperature,Production,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Product Quality (after doing sensory of cooked food/chutney etc)  good,Product Quality (after doing sensory of cooked food/chutney etc)  good,Production,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Only food handlers handling the food stuff,Only food handlers handling the food stuff,Production,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Thermometer was available and calibration record maintained,Thermometer was available and calibration record maintained,Production,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Cutting boards are clean, free from cuts and scratches","Cutting boards are clean, free from cuts and scratches",Production,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
All temperature records maintained for deep freezer & chillers,All temperature records maintained for deep freezer & chillers,Production,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Hot and Cold Bain marie temperature in conformity,Hot and Cold Bain marie temperature in conformity,Production,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Used oil not used in cooking further if it is already dark brown and not to be discarded in drain too,Used oil not used in cooking further if it is already dark brown and not to be discarded in drain too,Production,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Equipment well maintained,Equipment well maintained,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
All lights covered with clean light covers,All lights covered with clean light covers,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Light fixtures, cabinet, switch boards, wires and electrical points in good condition","Light fixtures, cabinet, switch boards, wires and electrical points in good condition",Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Display temperature gauges of chillers/freezers available and working,Display temperature gauges of chillers/freezers available and working,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"All chillers/freezers conforming to required temperatures, no variation between internal and display temperature","All chillers/freezers conforming to required temperatures, no variation between internal and display temperature",Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"All chillers, freezers and under counters are numbered","All chillers, freezers and under counters are numbered",Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"All gaskets on refrigeration/ freezer units, ice machines and hot holding units are well maintained","All gaskets on refrigeration/ freezer units, ice machines and hot holding units are well maintained",Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
All fly catchers are clean and UV tubes carry date of beginning of shelf life,All fly catchers are clean and UV tubes carry date of beginning of shelf life,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Blowers of all chillers are clean,Blowers of all chillers are clean,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"All kitchen exhausts/ Air curtains working. Air ducts, fresh air vents are cleaned and sanitized on regular basis","All kitchen exhausts/ Air curtains working. Air ducts, fresh air vents are cleaned and sanitized on regular basis",Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"All gas pipes rust free and in good condition. Flame of gas bluish in colour, Servicing done.","All gas pipes rust free and in good condition. Flame of gas bluish in colour, Servicing done.",Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
No rusty/damaged racks,No rusty/damaged racks,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"All cracks, gaps and cervices checked for and closed","All cracks, gaps and cervices checked for and closed",Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
Trolleys in good condition,Trolleys in good condition,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Dishwashing machine working properly and at the right temperature,Dishwashing machine working properly and at the right temperature,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"RO cleaning/service schedule available, displayed.","RO cleaning/service schedule available, displayed.",Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Hot water facililty available in pot wash and jet spray area,Hot water facililty available in pot wash and jet spray area,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Preventive maintenance checklist available.,Preventive maintenance checklist available.,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"No safety hazard present in resturant like open wire, improperly aligned drain grating.","No safety hazard present in resturant like open wire, improperly aligned drain grating.",Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"All equipments are working properly, no broken/damaged or missing parts.","All equipments are working properly, no broken/damaged or missing parts.",Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
No Paint peeling off from ceiling or wall.,No Paint peeling off from ceiling or wall.,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
No leakage from taps and with proper tap covers.,No leakage from taps and with proper tap covers.,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Ceilings and shaft door not kept open.,Ceilings and shaft door not kept open.,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Hood ducts cleans and Duct cleaning done by an external agency.Records available,Hood ducts cleans and Duct cleaning done by an external agency.Records available,Equipment Condition & Maintenance,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
Log/challans maintained for incoming material,Log/challans maintained for incoming material,Receiving & Storage,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"Store maintained clean and organized, gunnysacks/thermacol, news paper not used","Store maintained clean and organized, gunnysacks/thermacol, news paper not used",Receiving & Storage,,,option_select,yes,1,no,Yes:1|No:0|NA:NA
"No expired, infested material","No expired, infested material",Receiving & Storage,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
"FIFO/FEFO being followed properly, no overstock","FIFO/FEFO being followed properly, no overstock",Receiving & Storage,,,option_select,yes,1,no,Yes:2|No:0|NA:NA
