title,description,category,subcategory,section,input_type,required,weight,is_critical,options
Designated hand wash sink with all necessary amenities available at back entrance,Designated hand wash sink with all necessary amenities available at back entrance,Personal Hygiene,,,image_upload,yes,1,no,Yes:3|No:0|NA:NA
Personal Hygiene of staff  maintained/personal hygiene checklist maintained,Personal Hygiene of staff  maintained/personal hygiene checklist maintained,Personal Hygiene,,,image_upload,yes,1,no,Yes:1|No:0|NA:NA
People are cleanly shaven and nails are short & clean. Beard Mask worn by staff with beard,People are cleanly shaven and nails are short & clean. Beard Mask worn by staff with beard,Personal Hygiene,,,image_upload,yes,1,no,Yes:1|No:0|NA:NA
"No eating, drinking, chewing tobacco and smoking in the production / restaurant area.","No eating, drinking, chewing tobacco and smoking in the production / restaurant area.",Personal Hygiene,,,image_upload,yes,1,no,Yes:1|No:0|NA:NA
No open cuts and wounds,No open cuts and wounds,Personal Hygiene,,,image_upload,yes,1,no,Yes:2|No:0|NA:NA
"No wrist band, rings, necklace, watches or jewelery worn in production/restaurant area","No wrist band, rings, necklace, watches or jewelery worn in production/restaurant area",Personal Hygiene,,,image_upload,yes,1,no,Yes:1|No:0|NA:NA
"Hands are washed hourly and sanitized with soft care Des E Spray, Tissue paper/ air dryer available","Hands are washed hourly and sanitized with soft care Des E Spray, Tissue paper/ air dryer available",Personal Hygiene,,,image_upload,yes,1,no,Yes:2|No:0|NA:NA
"Uniform of the staff is clean, not torn .","Uniform of the staff is clean, not torn .",Personal Hygiene,,,image_upload,yes,1,no,Yes:1|No:0|NA:NA
"Staff not touching mouth, nose, eyes, hairs in the production area","Staff not touching mouth, nose, eyes, hairs in the production area",Personal Hygiene,,,image_upload,yes,1,no,Yes:1|No:0|NA:NA
Lockers & changing area are available for staff,Lockers & changing area are available for staff,Personal Hygiene,,,image_upload,yes,1,no,Yes:1|No:0|NA:NA
"Staff washing and sanitizing hands after clearance, handling money, coughing, sneezing  etc.","Staff washing and sanitizing hands after clearance, handling money, coughing, sneezing  etc.",Personal Hygiene,,,image_upload,yes,1,no,Yes:1|No:0|NA:NA
Staff wearing proper hairnets in the production area,Staff wearing proper hairnets in the production area,Personal Hygiene,,,image_upload,yes,1,no,Yes:1|No:0|NA:NA
FSSAI licence is available and displayed.,FSSAI licence is available and displayed.,Regulatory Requirement,,,image_upload,yes,1,no,Yes:3|No:0|NA:NA
